Tag,Color,Type,Tier,Social Hierarchy,Religion,Cultures,Capital,Is Named From Capital,Valid As Home Country For Separatists,Primary Unit Color,Secondary Unit Color,Tertiary Unit Color
ドイツ,#93826E,承認国,帝国,,,"北ドイツ, 南ドイツ",ブランデンブルク,False,,,,
イギリス,#E5444E,承認国,帝国,,,"イングランド, スコットランド",ホームカウンティー,False,,,,
スカンジナビア,#3E7ABD,承認国,帝国,,,"スウェーデン, ノルウェー, デンマーク, アイスランド",スヴェアランド,False,,,,
ロシア,#2F5B12,承認国,帝国,,,ロシア,イングリア,False,,,,
フランス,#1432D2,承認国,帝国,,,フランス,イル＝ド＝フランス,False,,,,
プロイセン,#003153,承認国,王国,,,北ドイツ,ブランデンブルク,False,,,,
ヴェストファーレン,#055505,承認国,公国,,,北ドイツ,ヴェストファーレン,True,,,,
ポメラニア,#B13322,承認国,公国,,,北ドイツ,ポメラニア,True,,,,
オーストリア,#D3DCF0,承認国,帝国,,,南ドイツ,オーストリア,False,,#D3DCF0,#5E78A5,#141414
アメリカ,#425EC1,承認国,帝国,,,"ヤンキー, ディキシー",コロンビア特別区,False,,#141478,#96BED2,#05055A
アメリカ連合国,#BEBACA,承認国,王国,,,ディキシー,ヴァージニア,False,,,,
アメリカ自由州,#6A7CF3,承認国,王国,,,ヤンキー,ニューヨーク,False,,,,
新アフリカ,#D4648D,承認国,王国,,,アフリカ系アメリカ,ジョージア,False,,,,
ルイジアナ,#353490,承認国,公国,,,"ケイジャン, アフリカ系アンティル",ルイジアナ,False,,,,
アンゴラ・ジャンガ,#6F38C8,承認国,王国,,,アフリカ系ブラジル,ペルナンブーコ,False,,,,
アマゾン,#2A6640,非承認国家,王国,,,アマゾン,アマゾナス,False,,,,
グアラニー,#CB2053,非承認国家,王国,,,グアラニー,アマゾナス,False,,,,
日本,#C2353C,非承認国家,帝国,,,日本,関西,False,,,,
イタリア,#7DAB54,承認国,帝国,,,"北イタリア, 南イタリア",ラツィオ,False,,,,
ドナウ,#BE5A5F,承認国,帝国,,,"南ドイツ, ハンガリー, ルーマニア, クロアチア, チェコ, スロバキア, スロベニア",ハンガリー大平原,False,,,,
デンマーク,#7F1979,承認国,王国,,,デンマーク,シェラン,False,,,,
フィンランド,#CDD4E4,承認国,大公国,,,"フィンランド, スウェーデン",ウーシマー,False,,,,
ノルウェー,#75A5BC,承認国,王国,,,ノルウェー,東ノルウェー,False,,,,
スウェーデン,#5782C7,承認国,王国,,,スウェーデン,スヴェアランド,False,,,,
スコーネ,#FBA116,承認国,公国,,,スウェーデン,スコーネ,True,,,,
ベルギー,#EBC87F,承認国,王国,,,"フランドル, ワロン",フランドル,False,,,,
カタルーニャ,#D5844C,承認国,公国,,,カタルーニャ,カタルーニャ,True,,,,
フランドル,#2B8DAC,承認国,公国,,,フランドル,フランドル,True,,,,
アイルランド,#709669,承認国,王国,,,アイルランド,レンスター,False,,,,
オランダ,#CC5F28,承認国,王国,,,オランダ,ホランド,False,,,,
ポルトガル,#1C5294,承認国,王国,,,ポルトガル,エストレマドゥーラ,False,,,,
スコットランド,#C7AF0C,承認国,王国,,,"スコットランド, ゲール",ローランド,False,,,,
アルバ,#008CE6,承認国,王国,,,ゲール,ハイランド,False,,,,
イングランド,#B4633A,承認国,王国,,,イングランド,ホームカウンティー,False,,,,
アルスター,#CC5428,承認国,公国,,プロテスタント,"スコットランド, アイルランド",アルスター,True,,,,
ウェールズ,#797E94,承認国,公国,,,ウェールズ,ウェールズ,True,,,,
ナバラ,#FCE93A,承認国,王国,,,バスク,バスク州,True,,,,
スペイン,#D38806,承認国,王国,,,スペイン,新カスティーリャ,False,,,,
ワロン,#838D8E,承認国,公国,,,ワロン,ワロン,True,,,,
アンハルト,#CB5D7C,承認国,公国,,,北ドイツ,アンハルト,True,,,,
バーデン,#76E5D7,承認国,大公国,,,南ドイツ,バーデン,True,,,,
バイエルン,#79AFEB,承認国,王国,,,南ドイツ,バイエルン,True,,,,
ブラウンシュヴァイク,#745C27,承認国,公国,,,北ドイツ,ブラウンシュヴァイク,True,,,,
ブレーメン,#216589,承認国,都市国家,,,北ドイツ,エルベ,False,,,,
ダンツィヒ,#4E8197,承認国,都市国家,,,北ドイツ,西プロイセン,False,,,,
フランクフルト,#F3C921,承認国,都市国家,,,北ドイツ,ヘッセ,False,,,,
ハンブルク,#689447,承認国,都市国家,,,北ドイツ,エルベ,False,,,,
ハノーファー,#A4D97F,承認国,王国,,,北ドイツ,ハノーファー,True,,,,
ヘッセン,#926C92,承認国,大公国,,,北ドイツ,ヘッセ,True,,,,
ホルシュタイン,#DC969E,承認国,公国,,,北ドイツ,シュレースヴィヒ＝ホルシュタイン,True,,,,
リューベック,#30A433,承認国,都市国家,,,北ドイツ,シュレースヴィヒ＝ホルシュタイン,False,,,,
ルクセンブルク,#358C49,承認国,大公国,,,"ワロン, 北ドイツ",ワロン,False,,,,
メクレンブルク,#CF6F40,承認国,大公国,,,北ドイツ,メクレンブルク,True,,,,
ナッサウ,#6B5EA9,承認国,公国,,,北ドイツ,ヘッセ,False,,,,
オルデンブルク,#938276,承認国,大公国,,,北ドイツ,ハノーファー,False,,,,
ザクセン,#9B93B4,承認国,王国,,,北ドイツ,ザクセン,True,,,,
ヴュルテンベルク,#6FA280,承認国,王国,,プロテスタント,南ドイツ,ヴュルテンベルク,True,,,,
ロンバルディア,#926C92,承認国,公国,,,北イタリア,ロンバルディア,True,,,,
ルッカ,#72ABB8,承認国,公国,,,北イタリア,エミリア,False,,,,
モデナ,#F1FC97,承認国,公国,,,北イタリア,エミリア,False,,,,
ローマ,#D3DCB2,承認国,王国,,,"南イタリア, 北イタリア",ラツィオ,False,,,,
パルマ,#80CA81,承認国,公国,,,北イタリア,エミリア,False,,,,
グラン・パラ,#80CA81,承認国,公国,,カトリック,アマゾニック,パラー,False,,,,
