|||||50|65|||||35|35|35|c
||タグ|>|国名|種別|ティア|主要文化|国教((第一主要文化の文化宗教と異なる場合のみ記載))|ヒエラルキー|首都|初期存在|解放可能|形成可能|h
|BGCOLOR(#93826E):|~GER|Germany|ドイツ|承認国|帝国|北ドイツ&br;南ドイツ|||ブランデンブルク|||形成|
|BGCOLOR(#E5444E):|~GBR|Great Britain|イギリス|承認国|帝国|イングランド&br;スコットランド|||ホームカウンティー|初期|解放|形成|
|BGCOLOR(#3E7ABD):|~SCA|Scandinavia|スカンジナビア|承認国|帝国|スウェーデン&br;ノルウェー&br;デンマーク&br;アイスランド|||スヴェアランド|||形成|
|BGCOLOR(#2F5B12):|~RUS|Russia|ロシア|承認国|帝国|ロシア|||イングリア|初期|解放|形成|
|BGCOLOR(#1432D2):|~FRA|France|フランス|承認国|帝国|フランス|||イル＝ド＝フランス|初期|解放|形成|
|BGCOLOR(#003153):|~PRU|Prussia|プロイセン|承認国|王国|北ドイツ|||ブランデンブルク|初期|解放|形成|
|BGCOLOR(#055505):|~WES|Westphalia|ヴェストファーレン|承認国|公国|北ドイツ|||ヴェストファーレン||解放||
|BGCOLOR(#B13322):|~POM|Pomerania|ポメラニア|承認国|公国|北ドイツ|||ポメラニア||解放||
|BGCOLOR(#D3DCF0):|~AUS|Austria|オーストリア|承認国|帝国|南ドイツ|||オーストリア|初期|解放||
|BGCOLOR(#425EC1):|~USA|America|アメリカ|承認国|帝国|ヤンキー&br;ディキシー|||コロンビア特別区|初期|解放|形成|
|BGCOLOR(#BEBACA):|~CSA|Confederate States of America|アメリカ連合国|承認国|王国|ディキシー|||ヴァージニア||解放||
|BGCOLOR(#6A7CF3):|~FSA|Free States of America|アメリカ自由州|承認国|王国|ヤンキー|||ニューヨーク|||形成|
|BGCOLOR(#D4648D):|~ASA|New Africa|新アフリカ|承認国|王国|アフリカ系アメリカ|||ジョージア||解放||
|BGCOLOR(#353490):|~LOU|Louisiana|ルイジアナ|承認国|公国|ケイジャン&br;アフリカ系アンティル|||ルイジアナ||解放||
|BGCOLOR(#6F38C8):|~AGJ|Angola Janga|アンゴラ・ジャンガ|承認国|王国|アフリカ系ブラジル|||ペルナンブーコ||解放||
|BGCOLOR(#2A6640):|~AMZ|Amazonia|アマゾン|非承認国家|王国|アマゾン|||アマゾナス||解放||
|BGCOLOR(#CB2053):|~GRI|Guarani|グアラニー|非承認国家|王国|グアラニー|||アマゾナス||||
|BGCOLOR(#C2353C):|~JAP|Japan|日本|非承認国家|帝国|日本|||関西|初期|解放||
|BGCOLOR(#7DAB54):|~ITA|Italy|イタリア|承認国|帝国|北イタリア&br;南イタリア|||ラツィオ|||形成|
|BGCOLOR(#BE5A5F):|~KUK|Danubian State|ドナウ|承認国|帝国|南ドイツ&br;ハンガリー&br;ルーマニア&br;クロアチア&br;チェコ&br;スロバキア&br;スロベニア|||ハンガリー大平原|||形成|
|BGCOLOR(#7F1979):|~DEN|Denmark|デンマーク|承認国|王国|デンマーク|||シェラン|初期|解放||
|BGCOLOR(#CDD4E4):|~FIN|Finland|フィンランド|承認国|大公国|フィンランド&br;スウェーデン|||ウーシマー|初期|解放||
|BGCOLOR(#75A5BC):|~NOR|Norway|ノルウェー|承認国|王国|ノルウェー|||東ノルウェー|初期|解放||
|BGCOLOR(#5782C7):|~SWE|Sweden|スウェーデン|承認国|王国|スウェーデン|||スヴェアランド|初期|解放|形成|
|BGCOLOR(#FBA116):|~SCN|Scania|スコーネ|承認国|公国|スウェーデン|||スコーネ||解放||
|BGCOLOR(#EBC87F):|~BEL|Belgium|ベルギー|承認国|王国|フランドル&br;ワロン|||フランドル|初期|解放||
|BGCOLOR(#D5844C):|~CAT|Catalonia|カタルーニャ|承認国|公国|カタルーニャ|||カタルーニャ||解放||
|BGCOLOR(#2B8DAC):|~FLA|Flanders|フランドル|承認国|公国|フランドル|||フランドル||解放||
|BGCOLOR(#709669):|~IRE|Ireland|アイルランド|承認国|王国|アイルランド|||レンスター||解放|形成|
|BGCOLOR(#CC5F28):|~NET|Netherlands|オランダ|承認国|王国|オランダ|||ホランド|初期|解放||
|BGCOLOR(#1C5294):|~POR|Portugal|ポルトガル|承認国|王国|ポルトガル|||エストレマドゥーラ|初期|解放||
|BGCOLOR(#C7AF0C):|~SCO|Scotland|スコットランド|承認国|王国|スコットランド&br;ゲール|||ローランド||解放||
|BGCOLOR(#008CE6):|~ALA|Alba|アルバ|承認国|王国|ゲール|||ハイランド||||
|BGCOLOR(#B4633A):|~ENG|England|イングランド|承認国|王国|イングランド|||ホームカウンティー||解放|形成|
