Tag,States,Use Culture States,Required States Fraction,AI Will Do,Potential,Possible,Geographic Region,Is Major Formation,Unification Play,Leadership Play,Max Num Formation Candidates,Can Be Formation Candidate,Can Be Unification Target
イギリス,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [70..99),,,,False,,,0,,
イングランド,"ホームカウンティー, ミッドランド, イーストアングリア, ウェストカントリー, ヨークシャー, ランカシャー",False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [279..308),,,,False,,,0,,
中央アメリカ,,True,0.5,BlockPropertyNode: ai_will_do = { 1 children } at [381..410),,,,False,,,0,,
ロシア,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [484..513),,,,False,,,0,,
アイルランド,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [588..617),,,,False,,,0,,
フランス,"イル＝ド＝フランス, プロヴァンス, ノルマンディー, ラングドック, ローヌ, フランス低地諸国, ピカルディー, アルザス＝ロレーヌ, ポワトゥー＝サントンジュ, ギュイエンヌ, オーベルジュ＝リムーザン, ブルターニュ, ブルゴーニュ, シャンパーニュ, フランシュ＝コンテ, ロレーヌ, アキテーヌ, オルレアン＝ベリー",False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [1019..1048),,,,False,,,0,,
スウェーデン,"スヴェアランド, イェータランド, スコーネ, ノールランド",False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [1177..1205),,,,False,,,0,,
ラオス,ラオス,False,1.0,BlockPropertyNode: ai_will_do = { 1 children } at [1280..1309),,,,False,,,0,,
バルト連合州,,True,1,BlockPropertyNode: ai_will_do = { 1 children } at [1380..1409),,BlockPropertyNode: possible = { 1 children } at [1412..1473),,False,,,0,,
ビザンツ,"東トラキア, アッティカ, テッサリア, マケドニア, スコピア, 西トラキア, 北トラキア, ヒュダヴェンディギャール, アイドゥン, 西エーゲ海諸島, 東エーゲ海諸島, アルバニア",False,1.0,BlockPropertyNode: ai_will_do = { 1 children } at [1778..1807),,BlockPropertyNode: possible = { 3 children } at [1810..2078),,False,,,0,,
ポーランド＝リトアニア,"フロドナ, 東ガリツィア, ワルシャワ, ルブリン, リトアニア, ヴィルニュス, プウォツク, ポーゼン, ヴォルィーニ, 西ガリツィア, 西プロイセン",False,1,BlockPropertyNode: ai_will_do = { 1 children } at [2338..2367),,,,False,,,0,,
プロイセン,"ブランデンブルク, ポメラニア, 西プロイセン, 東プロイセン, 下シレジア, 上シレジア, ポーゼン",False,0.8,BlockPropertyNode: ai_will_do = { 1 children } at [2567..2596),,,,False,,,0,,
中国,,True,0.6,BlockPropertyNode: ai_will_do = { 1 children } at [2669..2698),,,,False,,,0,,
エチオピア,"アムハラ, ゴンダール, オロミア",False,0.33,BlockPropertyNode: ai_will_do = { 1 children } at [2884..2913),,,,False,,,0,,
アオテアロア,,True,1.0,BlockPropertyNode: ai_will_do = { 1 children } at [2986..3015),,,,False,,,0,,
西インド諸島,"西インド諸島, ジャマイカ",False,1,BlockPropertyNode: ai_will_do = { 1 children } at [3111..3140),,,,False,,,0,,
イベリア,,True,0.9,BlockPropertyNode: ai_will_do = { 1 children } at [3213..3242),,BlockPropertyNode: possible = { 2 children } at [3245..3687),,False,,,0,,
コロンビア,,True,0.8,BlockPropertyNode: ai_will_do = { 1 children } at [3760..3789),,,,False,,,0,,
ブラジル,,True,0.8,BlockPropertyNode: ai_will_do = { 1 children } at [3862..3891),,,,False,,,0,,
スペイン,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [3965..3994),,,,False,,,0,,
メキシコ,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [4068..4097),,,,False,,,0,,
ドナウ,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [4171..4200),,BlockPropertyNode: possible = { 2 children } at [4203..4377),,False,,,0,,
アメリカ,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [4451..4480),,,,False,,,0,,
アメリカ自由州,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [4554..4583),,BlockPropertyNode: possible = { 1 children } at [4586..4652),,False,,,0,,
チェコスロバキア,"ボヘミア, モラヴィア, スロバキア, ルテニア",False,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [4781..4810),,BlockPropertyNode: possible = { 1 children } at [4813..4876),,False,,,0,,
カナダ,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [4950..4979),,BlockPropertyNode: possible = { 1 children } at [4982..5039),,False,,,0,,
オーストラリア,,True,0.75,BlockPropertyNode: ai_will_do = { 1 children } at [5113..5142),,BlockPropertyNode: possible = { 1 children } at [5145..5202),,False,,,0,,
ポーランド,"ワルシャワ, プウォツク, ルブリン, 西ガリツィア, 東ガリツィア, 上シレジア, 西プロイセン, ポーゼン",False,0.55,BlockPropertyNode: ai_will_do = { 1 children } at [5425..5454),,BlockPropertyNode: possible = { 1 children } at [5457..5520),,False,,,0,,
ルーマニア,,True,0.375,BlockPropertyNode: ai_will_do = { 1 children } at [5659..5688),,BlockPropertyNode: possible = { 1 children } at [5691..5754),,False,,,0,,
