Tag,Create States,Homelands,Claims
ミンスク,c:RUS(26),"ロシア, 白ロシア",
ルイジアナ,c:USA(28),"ディキシー, アフリカ系アメリカ, ケイジャン, アフリカ系アンティル",
ニューヨーク,c:USA(35),"ヤンキー, イロコイ",
ヴァージニア,c:USA(28),ディキシー,
下エジプト,c:EGY(12),ミスル,
ホームカウンティー,c:GBR(9),イングランド,
ランカシャー,c:GBR(8),イングランド,
プロヴァンス,"c:SAR(1), c:FRA(8)","フランス, オック",
ノルマンディー,c:FRA(11),フランス,
下アンダルシア,c:SPA(12),スペイン,
ホランド,c:NET(4),オランダ,
バルーチスターン,"c:OMA(1), c:KAL(39), c:MAK(17), c:KAN(9)","バローチ, パシュトゥーン",東インド
東ベンガル,c:BIC(30),ベンガル,
ドブロジャ,"c:TUR(7), c:RUS(1)","ブルガリア, ルーマニア, トルコ",
バスラ,c:TUR(17),"マシュリク, ベドウィン",
東トラキア,c:TUR(7),"ギリシャ, トルコ",
メコン,"c:DAI(15), c:DGR(12)","ベトナム, クメール, チャンパ",ベトナム
山東,c:CHI(40),漢,
蘇州,c:CHI(7),漢,
ロストフ,c:RUS(53),"ウクライナ, ロシア",
ヴェネツィア,c:AUS(10),北イタリア,
ポメラニア,c:PRU(18),北ドイツ,
イングリア,c:RUS(30),ロシア,
アラスカ,"c:ALK(287), c:ATB(744)","イヌイット, セイリッシュ, アサバスカ",アラスカ
南コロンビア,c:ORG(60),"ネズ・パース, セイリッシュ",
オレゴン,c:ORG(78),"セイリッシュ, ネズ・パース",
アイダホ,"c:ORG(6), c:BNN(38), c:NZP(30)","ネズ・パース, パイユート",オレゴン
コロラド,"c:MEX(14), c:ARP(26), c:UTE(24), c:USA(9)","スー, パイユート",
ワイオミング,"c:USA(23), c:LKT(13), c:ARP(12), c:BNN(14), c:SLS(2), c:ABS(7)","スー, パイユート",アメリカ
モンタナ,"c:USA(41), c:SLS(44), c:ABS(32), c:LKT(4), c:BLF(10)","ダコタ, スー, セイリッシュ",アメリカ
ノースダコタ,"c:USA(34), c:LKT(29)",ダコタ,アメリカ
サウスダコタ,"c:LKT(54), c:USA(4)",ダコタ,アメリカ
ネブラスカ,"c:USA(10), c:LKT(24), c:PWN(29)",ダコタ,アメリカ
カンザス,"c:USA(34), c:PWN(13), c:COM(8)",スー,アメリカ
オクラホマ,"c:SEQ(32), c:COM(16)","チェロキー, スー",
アーカンソー,c:USA(36),"ディキシー, チェロキー, ケイジャン",
ミズーリ,c:USA(44),"ディキシー, ヤンキー, ケイジャン",
