Tag,States,Provinces,Use Culture States,Required States Num,AI Will Do,Possible
バルト連合州,"リトアニア, ヴィルニュス, タリン, 北リボニア, 南リボニア, クールラント",,False,3,BlockPropertyNode: ai_will_do = { 1 children } at [128..156),BlockPropertyNode: possible = { 1 children } at [159..220)
オーストリア,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [286..314),
アイルランド,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [380..408),
メティス,,,True,1,BlockPropertyNode: ai_will_do = { 1 children } at [474..502),
ジョージア,チフリス,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [556..584),
アルメニア,"アルメニア, エルズルム, カルス, エリザベトポリ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [678..706),
ダゲスタン,ダゲスタン,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [752..780),
アゼルバイジャン,"バクー, エリザベトポリ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [848..876),
スコットランド,"ローランド, ハイランド",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [940..968),
ウェールズ,ウェールズ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [1011..1039),
アルスター,アルスター,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [1083..1111),
イングランド,"ホームカウンティー, ミッドランド, イーストアングリア, ウェストカントリー, ヨークシャー, ランカシャー",,False,3,BlockPropertyNode: ai_will_do = { 1 children } at [1283..1311),
ラトビア,"南リボニア, クールラント",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [1365..1393),
エストニア,"タリン, 北リボニア",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [1446..1474),
リトアニア,"リトアニア, ヴィルニュス",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [1529..1557),
スウェーデン,"スヴェアランド, イェータランド, スコーネ, ノールランド",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [1678..1706),
フィンランド,"ウーシマー, ポフヤンマー, 西カレリア, クオピオ, オウル",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [1847..1875),
ノルウェー,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [1941..1969),
デンマーク,,,True,2,BlockPropertyNode: ai_will_do = { 1 children } at [2035..2063),
アイスランド,アイスランド,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [2105..2133),
アメリカ連合国,,,True,5,BlockPropertyNode: ai_will_do = { 1 children } at [2199..2227),BlockPropertyNode: possible = { 1 children } at [2230..2342)
新アフリカ,"ジョージア, ルイジアナ, サウスカロライナ, ミシシッピ, アラバマ, フロリダ",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [2480..2508),
ルイジアナ,ルイジアナ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [2555..2583),
アンゴラ・ジャンガ,"ペルナンブーコ, パライバ, リオグランデ・ド・ノルテ, バイーア",,False,2,BlockPropertyNode: ai_will_do = { 1 children } at [2715..2743),
アマゾン,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [2783..2811),
チェロキー,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [2851..2879),
スコーネ,スコーネ,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [2920..2948),BlockPropertyNode: possible = { 1 children } at [2951..3023)
ナバラ,バスク州,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [3072..3100),
トランシルヴァニア,"南トランシルヴァニア, 北トランシルヴァニア",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [3190..3218),
クリミア,クリミア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [3259..3287),
トリエステ,イストリア,,False,,BlockPropertyNode: ai_will_do = { 1 children } at [3328..3356),
フランス,"イル＝ド＝フランス, プロヴァンス, ノルマンディー, ラングドック, ローヌ, フランス低地諸国, ピカルディー, アルザス＝ロレーヌ, ポワトゥー＝サントンジュ, ギュイエンヌ, オーベルジュ＝リムーザン, ブルターニュ, ブルゴーニュ, シャンパーニュ, フランシュ＝コンテ, ロレーヌ, アキテーヌ, オルレアン＝ベリー, メーヌ＝アンジュー",,False,,BlockPropertyNode: ai_will_do = { 1 children } at [3744..3772),
ブルターニュ,,,True,,BlockPropertyNode: ai_will_do = { 1 children } at [3812..3840),
ヤンマイエン,,x31968A,False,,BlockPropertyNode: ai_will_do = { 1 children } at [3879..3907),BlockPropertyNode: possible = { 1 children } at [3910..3982)
