|~ |~国名|タグ|h
||~バルト連合州|UBD|
||~オーストリア|AUS|
||~アイルランド|IRE|
||~メティス|MTC|
||~ジョージア|GEO|
||~アルメニア|ARM|
||~ダゲスタン|DAG|
||~アゼルバイジャン|AZB|
||~スコットランド|SCO|
||~ウェールズ|WLS|
||~アルスター|ULS|
||~イングランド|ENG|
||~ラトビア|LAT|
||~エストニア|EST|
||~リトアニア|LIT|
||~スウェーデン|SWE|
||~フィンランド|FIN|
||~ノルウェー|NOR|
||~デンマーク|DEN|
||~アイスランド|ICL|
||~アメリカ連合国|CSA|
||~新アフリカ|ASA|
||~ルイジアナ|LOU|
||~アンゴラ・ジャンガ|AGJ|
||~アマゾン|AMZ|
||~チェロキー|CHE|
||~スコーネ|SCN|
||~ナバラ|NAV|
||~トランシルヴァニア|TRS|
||~クリミア|CRI|
||~トリエステ|TRE|
||~フランス|FRA|
||~ブルターニュ|BRI|
||~ヤンマイエン|JAN|
||~ポーランド|POL|
||~ウクライナ|UKR|
||~ガリツィア・ロドメリア|GAL|
||~ハンガリー|HUN|
||~ルーマニア|ROM|
||~ボヘミア|BOH|
||~クロアチア|CRO|
||~スロバキア|SLV|
||~ヴェネツィア|VEN|
||~ロンバルディア|LOM|
||~ベラルーシ|BYE|
||~クレタ|CRE|
||~ポメラニア|POM|
||~アンハルト|ANH|
||~ナッサウ|NAS|
||~ヘッセン|HES|
||~ヴェストファーレン|WES|
||~プロイセン|PRU|
||~日本|JAP|
||~ロシア|RUS|
||~中国|CHI|
||~ベトナム|DAI|
||~ジャワ|JAV|
||~朝鮮|KOR|
||~ラオス|LAO|
||~ヴィエンチャン|VIE|
||~チェンマイ|CMI|
||~チベット|TIB|
||~モンゴル|MGL|
||~満州|MCH|
||~心|XIN|
||~ハイチ|HAI|
||~サントドミンゴ|DOM|
||~アンティル連邦|ATL|
||~西インド諸島|WIN|
||~マヤ|MAY|
||~カタルーニャ|CAT|
||~スペイン|SPA|
||~エルサルバドル|ELS|
||~グアテマラ|GUA|
||~ロスアルトス|ALT|
||~ニカラグア|NIC|
||~ホンジュラス|HON|
||~コスタリカ|COS|
||~フランクフルト|FRM|
||~リューベック|LUB|
||~ハンブルク|HAM|
||~ブレーメン|BRE|
||~キューバ|CUB|
||~プエルトリコ|PCO|
||~ジャマイカ|JAM|
||~バハマ|BAH|
||~フィリピン|PHI|
||~プエブロ|PUE|
||~アナワク|NAH|
||~グリーンランド|GRN|
||~アイヌモシリ|AIN|
||~アンダルシア|ANL|
||~カスティーリャ|CAS|
||~カナダ|CAN|
||~ケベック|QUE|
||~ニューブランズウィック|NBS|
||~ノバスコシア|NVS|
||~オーストラリア|AST|
||~ニュージーランド|NZL|
||~ユカタン|YUC|
||~リオ・グランデ|RIO|
||~ピラティニ|PNI|
||~スリランカ|CEY|
||~ニューイングランド|NEN|
||~パナマ|PNM|
||~タワンティンスウユ|TWT|
||~アイマラ|AYM|
||~ホデノショニ|IRO|
||~テキサス|TEX|
||~ワロン|WLL|
||~マルタ|MLT|
||~フランドル|FLA|
||~ヌナブト|NNV|
||~ニューファンドランド|NEW|
||~サーミ|SMI|
||~イギリス|GBR|
||~ボスニア・ヘルツェゴヴィナ|BOS|
||~南アフリカ|SAF|
||~ブルガリア|BUL|
||~オクシタニア|OCC|
||~イラク|IRQ|
||~キプロス|CYP|
||~トゥバ|TUV|
||~コルシカ|COR|
||~ヤクート|YAK|
||~ツングース|TNS|
||~極東|FER|
||~イデル＝ウラル|IUS|
||~ハンティ・マンシ|KNT|
||~ウラル|URL|
||~アルタイ|ALI|
||~カザフスタン|KAZ|
||~チュクチ|CKC|
||~カムチャツカ|KMC|
||~ブリヤーティア|BRY|
||~バシキール|BKR|
||~タタールスタン|TAR|
||~カレリア|KRL|
||~山岳共和国|NCA|
||~ドン・コサック軍|DON|
||~ウドムルト|UDM|
||~チュヴァシ|CHV|
||~エルジャ・モクシャ|MRD|
||~マリ・エル|MRI|
||~シリア|SYR|
||~トランスヨルダン首長国|EOT|
||~レバノン|LEB|
||~スーダン|SUD|
||~メキシコ|MEX|
||~アルジェリア|ALD|
||~ユーゴスラビア|YUG|
||~ジンバブエ|ZIM|
||~コロンビア|CLM|
||~トルコ|TUR|
||~ダンツィヒ|DZG|
||~エジプト|EGY|
||~チェコスロバキア|CZH|
||~アルゼンチン|ARG|
||~ハノーファー|HAN|
||~両シチリア|SIC|
||~中央アメリカ|UCA|
||~スロベニア|SLO|
||~アルバニア|ALB|
||~クルディスタン|KUR|
||~ガリシア|GLI|
||~イスラエル|ISR|
||~パレスチナ|PAL|
||~シベリア|SIB|
||~ミシガン|UOM|
||~カリフォルニア|CAL|
||~アメリカ|USA|
||~ベルギー|BEL|
||~オランダ|NET|
||~ポルトガル|POR|
||~バーデン|BAD|
||~バイエルン|BAV|
||~ブラウンシュヴァイク|BRA|
||~ホルシュタイン|HOL|
||~シュレースヴィヒ|SCH|
||~ルクセンブルク|LUX|
||~メクレンブルク|MEC|
||~オルデンブルク|OLD|
||~ザクセン|SAX|
||~ヴュルテンベルク|WUR|
||~ルッカ|LUC|
||~モデナ|MOD|
||~ローマ|PAP|
||~パルマ|PAR|
||~グラン・パラ|PRA|
||~サルデーニャ＝ピエモンテ|SAR|
||~トスカーナ|TUS|
||~クラクフ|KRA|
||~スイス|SWI|
||~ギリシャ|GRE|
||~イオニア諸島|ION|
||~モルダヴィア|MOL|
||~モンテネグロ|MON|
||~セルビア|SER|
||~休戦オマーン|ABU|
||~アフガニスタン|AFG|
||~ブハラ|BUK|
||~ヒジャーズ|HDJ|
||~ヒヴァ|KHI|
||~コーカンド|KOK|
||~ナジュド|NEJ|
||~オマーン|OMA|
||~ペルシア|PER|
||~ジャバル・シャンマル|JAB|
||~イエメン|YEM|
||~マフラ|MAH|
||~カスィーリー|KAT|
||~アザル|ZAI|
||~ラヒジュ|LAH|
||~バーレーン|BHN|
||~バハーワルプル|BHW|
||~バスタール|BAS|
||~ハイデラバード|HYD|
||~ベンガル|BGL|
||~インドール|IND|
||~ドゥンダル|JAI|
||~ジャイサルメール|JAS|
||~マールワール|JOD|
||~カラート|KAL|
||~カシミール|KAS|
||~カッチ|KUT|
||~マクラン|MAK|
||~メーワール|MEW|
||~マイソール|MYS|
||~ナーグプル|NAG|
||~ネパール|NEP|
||~オリッサ|ORI|
||~潘|PAN|
||~シッキム|SIK|
||~シンド|SIN|
||~トラヴァンコール|TRA|
||~アチェ|ACE|
||~バリ|BAL|
||~ブータン|BHU|
||~蘭芳|LAN|
||~ブルネイ|BRU|
||~ビルマ|BUR|
||~カンボジア|CAM|
||~ルアンパバーン|LUA|
||~チャンパーサック|CHP|
||~ジョホール|JOH|
||~シャム|SIA|
||~デザレット|DES|
||~オンタリオ|ONT|
||~ボリビア|BOL|
||~ブラジル|BRZ|
||~チリ|CHL|
||~エクアドル|ECU|
||~ペルー|PEU|
||~パラグアイ|PRG|
||~ウルグアイ|URU|
||~ベネズエラ|VNZ|
||~オレゴン|ORG|
||~インディアン準州|SEQ|
||~ミスキティア|MKT|
||~ハザーラジャート|HZJ|
||~トルクメニスタン|TRC|
||~アッサム|ASM|
||~トバ|TOB|
||~カリマンタン|KLT|
||~ハンターワディー|HTH|
||~カレン|KRN|
||~クム|KHM|
||~カチン|KHN|
||~蝦夷|EZO|
||~黔|QIA|
||~台湾|FRS|
||~尹|YUN|
||~粤|YUE|
||~ソルビア|SRB|
||~バルチスタン|BLH|
||~湖南|HNA|
||~安徽|AHU|
||~質|ZHI|
||~山西|SHN|
||~貴州|GUI|
||~大城|GNG|
||~四川|SIH|
||~山東|SHA|
||~西北|XIB|
||~ザクセン＝コーブルク＝ゴータ|COB|
||~ザクセン＝マイニンゲン|MEI|
||~ザクセン＝ヴァイマル|WEI|
||~シュヴァルツブルク|SCW|
||~ヘッセン＝カッセル|HEK|
||~リッペ|LIP|
||~シャウムブルク＝リッペ|SCM|
||~メクレンブルク＝シュトレーリッツ|MST|
||~ホーエンツォレルン|HOH|
||~ヴァルデック|WLD|
||~シアク|SAK|
||~ポンティアナック|PON|
||~サンバス|SMB|
||~ジャンビ|JMB|
||~ジョクジャカルタ|YOG|
||~スラカルタ|SRK|
||~ブトゥン|BTN|
||~セランゴール|SEL|
||~ペラ|PRK|
||~スールー|SUL|
||~ティドレ|TID|
||~シンタン|STG|
||~バンジャール|BNJ|
||~チェルケス|CIR|
||~チェチェン|CHC|
||~ホビョ|HOB|
||~アッシリア|ASS|
||~ワラキア|WAL|
||~カルムイク|KLM|
||~南カフカース|CAU|
||~モロッコ|MOR|
||~チュニス|TUN|
||~トリポリ|TRI|
||~エチオピア|ETH|
||~リベリア|LIB|
||~ダルフール|DFR|
||~アシャンティ|ASH|
||~ダホメ|DAH|
||~ワダイ|WAD|
||~マダガスカル|MAD|
||~ガウナ|KAU|
||~台湾原住民|YUZ|
||~サヴォイ|SAV|
||~ラインラント|RHE|
||~コンスタンティン|CON|
||~マスカラ|MAS|
||~アイト・アッバス|AIT|
||~タジキスタン|TJI|
||~ウズベキスタン|UZB|
||~キルギス|KYR|
||~赤道連邦|EQT|
||~パウリスタニア|PAU|
||~サンタカタリーナ|CTR|
||~ミナスジェライス|MNG|
||~バヒア|BHI|
||~コーンウォール|CNW|
||~ノースカロライナ|NCR|
||~サウスカロライナ|SCR|
||~カロライナ|CLI|
||~ジョージア|GRG|
||~フロリダ|FLR|
||~アラビスタン|ARB|
||~ロレスターン|LUR|
||~マーザンダラーン|MAZ|
||~サタラ|SAT|
||~コールハープル|KHP|
||~コーチン|COC|
||~プドゥコッタイ|PUD|
||~カルヌール|KNO|
||~ジャイプル|JEY|
||~マユルバニ|MYB|
||~ナルシンハプル|NAR|
||~パトナ|PTN|
||~コーチ・ビハール|COO|
||~マニプル|MNP|
